x,y
10000000,0
10010000,0
10020000,0
10030000,-0
10040000,-0
10050000,0
10060000,0
10070000,74.97079467773438
10080000,227.5614013671875
10090000,0
10100000,0
10110000,0
10120000,-0
10130000,-0
10140000,0
10150000,0
10160000,138.1143951416016
10170000,0
10180000,0
10190000,0
10200000,-0
10210000,-0
10220000,0
10230000,0
10240000,0
10250000,55.2662239074707
10260000,0
10270000,0
10280000,0
10290000,-0
10300000,0
10310000,0
10320000,0
10330000,7.251800537109375
10340000,147.525146484375
10350000,0
10360000,0
10370000,0
10380000,-0
10390000,0
10400000,0
10410000,0
10420000,201.3119812011719
10430000,0
10440000,0
10450000,0
10460000,-0
10470000,-0
10480000,0
10490000,0
10500000,1.997997403144836
10510000,503.0655212402344
10520000,0
10530000,0
10540000,0
10550000,-0
10560000,0
10570000,0
10580000,0
10590000,123.2521514892578
10600000,130.4670104980469
10610000,0
10620000,0
10630000,-0
10640000,-0
10650000,0
10660000,0
10670000,0
10680000,336.9892578125
10690000,0
10700000,0
10710000,0
10720000,-0
10730000,0
10740000,0
10750000,0
10760000,31.80601501464844
10770000,323.5957946777344
10780000,0
10790000,0
10800000,0
10810000,-0
10820000,0
10830000,0
10840000,0
10850000,264.890380859375
10860000,251.6995849609375
10870000,0
10880000,0
10890000,-0
10900000,-0
10910000,0
10920000,0
10930000,0
10940000,421.8115539550781
10950000,0
10960000,0
10970000,0
10980000,-0
10990000,0
11000000,0
